Id,SalePrice
1461,119262.79
1462,154950.17
1463,179176.75
1464,201003.62
1465,192134.36
1466,171240.83
1467,173391.45
1468,164267.64
1469,191269.77
1470,121859.51
1471,161204.78
1472,99473.086
1473,97347.04
1474,141728.92
1475,108189.94
1476,355535.38
1477,265791.16
1478,298306.97
1479,308221.44
1480,589190.0
1481,335176.53
1482,214568.78
1483,176647.11
1484,170243.28
1485,190905.95
1486,189484.77
1487,336327.75
1488,221942.84
1489,193690.28
1490,251558.25
1491,196799.22
1492,107129.57
1493,166377.73
1494,297901.9
1495,288801.16
1496,237813.19
1497,175107.61
1498,191949.66
1499,169481.7
1500,162164.1
1501,181741.72
1502,153793.64
1503,287070.72
1504,250030.08
1505,233887.6
1506,183083.92
1507,254500.89
1508,194312.56
1509,154204.66
1510,149065.2
1511,159927.7
1512,161373.2
1513,138484.22
1514,152366.95
1515,177437.39
1516,150470.52
1517,169771.95
1518,124033.73
1519,196988.48
1520,129860.1
1521,134768.56
1522,167369.7
1523,116506.53
1524,112901.625
1525,120658.71
1526,106128.92
1527,120658.45
1528,120312.94
1529,158518.2
1530,197095.11
1531,127689.04
1532,95579.06
1533,143351.19
1534,124179.2
1535,132309.5
1536,104712.1
1537,62759.367
1538,148000.9
1539,178789.38
1540,100766.195
1541,130257.27
1542,134510.22
1543,170870.28
1544,91272.625
1545,113610.914
1546,148074.95
1547,138472.66
1548,137215.44
1549,131608.83
1550,139854.47
1551,98756.75
1552,150679.6
1553,144665.6
1554,115832.47
1555,161933.61
1556,100574.01
1557,120865.15
1558,104424.16
1559,62759.367
1560,131938.42
1561,130042.72
1562,136373.03
1563,121342.11
1564,151935.64
1565,150548.34
1566,236635.67
1567,84465.79
1568,252764.1
1569,137089.03
1570,132845.22
1571,93827.88
1572,133950.44
1573,222099.55
1574,122928.17
1575,253574.47
1576,244761.78
1577,185596.47
1578,149896.47
1579,149657.97
1580,187689.05
1581,161245.48
1582,132235.58
1583,302222.38
1584,227913.42
1585,148562.55
1586,71049.76
1587,106911.59
1588,144252.16
1589,97194.336
1590,119071.36
1591,92225.1
1592,115988.41
1593,139012.83
1594,143591.0
1595,114883.125
1596,217300.22
1597,196188.11
1598,213194.61
1599,167254.19
1600,157221.7
1601,62759.367
1602,122629.11
1603,62759.367
1604,273949.06
1605,235019.58
1606,159756.89
1607,161463.95
1608,226401.05
1609,183336.23
1610,155191.95
1611,137196.12
1612,169777.56
1613,167033.0
1614,120428.8
1615,89891.55
1616,62759.367
1617,92272.8
1618,139341.36
1619,152312.12
1620,156972.92
1621,130391.016
1622,152934.89
1623,261212.58
1624,206109.95
1625,116739.984
1626,163236.55
1627,189177.92
1628,282028.94
1629,176794.42
1630,340482.06
1631,227849.5
1632,243604.89
1633,180208.72
1634,186750.69
1635,176792.86
1636,160285.62
1637,206176.55
1638,186761.45
1639,181587.06
1640,234497.48
1641,172290.06
1642,255525.95
1643,231491.08
1644,245376.4
1645,199351.17
1646,160984.77
1647,158677.14
1648,126630.79
1649,138273.84
1650,114055.805
1651,113863.06
1652,98275.695
1653,99374.54
1654,140589.66
1655,124774.625
1656,140682.95
1657,149488.36
1658,151489.88
1659,123818.25
1660,156947.42
1661,440417.34
1662,397260.12
1663,360837.0
1664,734719.25
1665,304637.16
1666,316069.4
1667,388968.56
1668,323971.6
1669,316660.1
1670,332101.1
1671,279147.22
1672,459700.53
1673,302361.06
1674,253979.84
1675,201697.64
1676,202759.06
1677,224340.5
1678,554487.25
1679,430380.16
1680,310483.94
1681,240825.56
1682,334616.0
1683,196273.38
1684,183892.6
1685,177310.88
1686,171844.97
1687,169113.27
1688,188651.7
1689,189493.3
1690,199183.36
1691,192420.6
1692,251974.78
1693,176637.03
1694,183787.36
1695,169734.97
1696,281927.66
1697,171062.55
1698,340256.88
1699,321638.38
1700,274999.2
1701,273028.84
1702,231094.66
1703,234068.22
1704,278239.97
1705,243116.14
1706,225600.4
1707,206262.23
1708,201626.92
1709,266578.06
1710,226480.61
1711,285044.0
1712,261118.62
1713,286802.78
1714,220141.98
1715,207180.8
1716,179769.38
1717,176846.0
1718,140742.06
1719,214911.22
1720,252868.3
1721,155285.1
1722,123602.68
1723,153039.48
1724,211644.16
1725,248879.92
1726,184474.97
1727,155770.84
1728,166667.06
1729,172366.61
1730,147426.84
1731,113866.77
1732,134857.1
1733,110131.4
1734,122796.875
1735,117501.09
1736,109636.57
1737,323074.1
1738,276355.4
1739,240489.88
1740,226616.61
1741,198452.94
1742,173464.72
1743,175753.3
1744,376493.03
1745,232136.89
1746,175800.72
1747,207950.02
1748,223318.28
1749,144004.86
1750,118690.1
1751,241389.7
1752,114373.805
1753,142786.08
1754,187042.5
1755,168375.02
1756,136314.53
1757,120572.48
1758,149516.5
1759,152614.61
1760,162645.44
1761,139318.38
1762,168375.06
1763,172934.45
1764,119161.32
1765,137260.25
1766,191625.3
1767,206460.19
1768,139192.61
1769,157598.14
1770,154548.27
1771,118099.0
1772,127712.125
1773,124250.33
1774,137127.56
1775,142663.81
1776,139443.03
1777,110940.28
1778,141931.39
1779,139946.6
1780,147996.27
1781,120368.48
1782,96908.63
1783,147547.8
1784,117021.69
1785,125749.54
1786,124960.586
1787,152789.55
1788,62759.367
1789,105775.32
1790,97206.37
1791,181656.2
1792,148753.7
1793,126148.28
1794,154173.28
1795,132001.7
1796,153524.62
1797,111820.63
1798,123699.82
1799,108884.47
1800,131423.83
1801,123234.55
1802,115513.65
1803,146610.44
1804,135301.83
1805,129246.27
1806,117623.13
1807,133308.61
1808,127050.0
1809,132116.05
1810,128524.83
1811,62759.367
1812,99590.43
1813,122544.19
1814,108874.81
1815,62759.367
1816,98983.31
1817,116706.9
1818,138537.19
1819,131581.4
1820,62759.367
1821,96944.484
1822,151244.94
1823,62759.367
1824,129669.164
1825,148899.36
1826,116311.38
1827,104731.55
1828,134021.56
1829,134326.1
1830,136450.38
1831,133494.45
1832,62759.367
1833,137838.33
1834,115999.516
1835,117980.59
1836,120493.95
1837,96576.23
1838,113344.07
1839,113155.625
1840,145586.1
1841,127723.12
1842,99609.875
1843,135011.14
1844,153007.98
1845,139764.95
1846,156311.16
1847,178783.83
1848,62759.367
1849,103095.75
1850,117606.9
1851,132096.78
1852,125261.46
1853,129707.72
1854,160457.95
1855,161654.47
1856,234246.47
1857,126386.375
1858,140496.95
1859,123489.13
1860,164355.7
1861,124628.87
1862,320687.25
1863,298651.28
1864,298675.0
1865,342609.28
1866,320532.03
1867,222514.1
1868,280916.9
1869,207568.38
1870,228925.38
1871,268658.06
1872,179022.02
1873,260201.6
1874,148198.88
1875,173107.19
1876,204134.69
1877,209739.78
1878,201433.03
1879,140373.55
1880,135115.11
1881,257453.28
1882,236447.5
1883,177804.77
1884,197699.05
1885,208362.97
1886,279020.1
1887,225640.12
1888,274460.62
1889,176503.08
1890,98332.086
1891,126493.68
1892,98519.805
1893,123232.46
1894,120391.836
1895,125825.766
1896,121702.555
1897,137386.38
1898,103320.83
1899,170041.3
1900,158616.64
1901,184041.45
1902,162642.23
1903,227829.05
1904,149812.36
1905,197291.08
1906,127749.39
1907,207655.12
1908,109406.484
1909,136944.69
1910,121100.59
1911,228632.47
